,,Positive,,,Negative,,,Neutral,,,
,Total Tweets,Number of Tweets,Polarity,Subjectivity,Number of Tweets,Polarity,Subjectivity,Number of Tweets,Subjectivity,Polarity,
results_091317_12PM.txt,1968,576,0.507860274,0.426961041,103,-0.307855103,0.53900883,1288,0.386343042,,
,,,,,,,,,,,
results_091317_7PM.txt,1645,293,0.381044718,0.549134821,126,-0.26964902,0.564493289,1225,0.367063492,,
,,,,,,,,,,,
results_091417_12PM.txt,2040,415,0.37628326,0.51166023,93,-0.27706478,0.500718569,1531,0.428897849,,
,,,,,,,,,,,
results_091417_19.txt,1688,289,0.362122931,0.494937518,107,-0.285036697,0.540310419,1291,0.382254117,,
,,,,,,,,,,,
results_091417_9AM.txt,3162,695,0.343917518,0.468203301,176,-0.243542053,0.463861712,2290,0.345048701,,
,,,,,,,,,,,
results_091517_12PM.txt,2917,601,0.397586314,0.527836737,207,-0.270254489,0.475683584,2108,0.25599839,,
,,,,,,,,,,,
results_091517_7PM.txt,1560,459,0.314988897,0.412143215,92,-0.234797682,0.421500309,1008,0.327943841,,
,,,,,,,,,,,
results_091517_9AM.txt,1874,303,0.367117881,0.531601916,123,-0.304343505,0.48381846,1447,0.319120209,,
,,,,,,,,,,,
results_091617_1030AM.txt,1615,353,0.372325604,0.517050943,92,-0.201023554,0.392137648,1169,0.327458592,,
,,,,,,,,,,,
results_091617_7PM.txt,848,267,0.411678474,0.551146516,51,-0.236110632,0.413356496,529,0.33199113,,
,,,,,,,,,,,
results_091717_8AM.txt,1727,292,0.3398415,0.559294045,67,-0.186775345,0.43259646,1367,0.576865672,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
